Country,Country Code,Indicator Name,2018,2019,2020
High income,HIC,GDP per capita (current US$),44415.46497,44612.48583,
"Hong Kong SAR, China",HKG,GDP per capita (current US$),48543.40099,48713.47375,
Honduras,HND,GDP per capita (current US$),2505.776752,2574.912191,
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),972.9429143,976.7418087,
Croatia,HRV,GDP per capita (current US$),15014.08502,14936.10055,
Haiti,HTI,GDP per capita (current US$),1435.351756,1272.490925,
Hungary,HUN,GDP per capita (current US$),16410.18726,16731.82151,
IBRD only,IBD,GDP per capita (current US$),6448.808924,6548.47538,
IDA & IBRD total,IBT,GDP per capita (current US$),5152.641591,5218.500475,
IDA total,IDA,GDP per capita (current US$),1365.854651,1388.833437,
IDA blend,IDB,GDP per capita (current US$),1756.039606,1765.664408,
Indonesia,IDN,GDP per capita (current US$),3893.846425,4135.569263,
IDA only,IDX,GDP per capita (current US$),1170.105606,1200.92518,
Isle of Man,IMN,GDP per capita (current US$),89108.42814,,
India,IND,GDP per capita (current US$),2005.863005,2099.599048,
Not classified,INX,GDP per capita (current US$),,,
Ireland,IRL,GDP per capita (current US$),78621.22793,78660.95646,
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),5550.060957,,
Iraq,IRQ,GDP per capita (current US$),5834.166211,5955.10901,
Iceland,ISL,GDP per capita (current US$),72968.70423,66944.83308,
Israel,ISR,GDP per capita (current US$),41719.72544,43592.08358,
Italy,ITA,GDP per capita (current US$),34615.75689,33228.23668,
Jamaica,JAM,GDP per capita (current US$),5354.236859,5582.263778,
Jordan,JOR,GDP per capita (current US$),4312.180117,4405.488412,
Japan,JPN,GDP per capita (current US$),39159.42356,40246.88013,
Kazakhstan,KAZ,GDP per capita (current US$),9812.601405,9812.390376,
Kenya,KEN,GDP per capita (current US$),1707.986805,1816.546916,
Kyrgyz Republic,KGZ,GDP per capita (current US$),1308.140165,1309.392992,
Cambodia,KHM,GDP per capita (current US$),1512.12671,1643.121389,
Kiribati,KIR,GDP per capita (current US$),1698.256286,1655.078839,
St. Kitts and Nevis,KNA,GDP per capita (current US$),19276.52127,19934.97453,
"Korea, Rep.",KOR,GDP per capita (current US$),33422.94421,31846.21823,
Kuwait,KWT,GDP per capita (current US$),33994.38192,32000.44847,
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),8593.741441,8390.062921,
Lao PDR,LAO,GDP per capita (current US$),2542.486528,2534.89828,
Lebanon,LBN,GDP per capita (current US$),8024.803271,7583.694722,
Liberia,LBR,GDP per capita (current US$),677.3221785,621.8929536,
Libya,LBY,GDP per capita (current US$),7877.122251,7685.949267,
St. Lucia,LCA,GDP per capita (current US$),11357.88901,11611.41545,
Latin America & Caribbean,LCN,GDP per capita (current US$),9092.678625,8869.895624,
Least developed countries: UN classification,LDC,GDP per capita (current US$),1063.167911,1079.204614,
