,Country,Country Code,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol Consumption per Capita (liter),equal_or_lower_than_5.41?
56,Paraguay,PRY,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001,7.58,False
57,Peru,PER,5.662999999999999,0.934,1.249,0.674,0.53,0.092,0.034,6.38,False
58,Moldova,MDA,5.64,0.657,1.301,0.62,0.23199999999999998,0.171,0.0,11.43,False
59,Turkmenistan,TKM,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,0.037000000000000005,4.93,False
60,Hungary,HUN,5.62,1.171,1.401,0.732,0.259,0.061,0.022000000000000002,11.35,False
61,Libya,LBY,5.566,0.985,1.35,0.5529999999999999,0.496,0.11599999999999999,0.14800000000000002,0.019,False
62,Philippines,PHL,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,0.105,6.86,False
63,Honduras,HND,5.504,0.62,1.205,0.622,0.45899999999999996,0.19699999999999998,0.07400000000000001,3.76,False
64,Belarus,BLR,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154,11.45,False
65,Turkey,TUR,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,0.109,2.05,False
66,Pakistan,PAK,5.472,0.652,0.81,0.424,0.33399999999999996,0.21600000000000003,0.113,0.34,False
67,Portugal,PRT,5.41,1.188,1.429,0.884,0.562,0.055,0.017,12.03,True
68,Serbia,SRB,5.398,0.975,1.369,0.685,0.28800000000000003,0.134,0.043,8.75,True
69,Greece,GRC,5.358,1.1540000000000001,1.202,0.879,0.131,0.0,0.044000000000000004,10.18,True
70,Lebanon,LBN,5.358,0.965,1.179,0.785,0.503,0.214,0.136,1.71,True
71,Montenegro,MNE,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.111,0.081,11.47,True
72,Croatia,HRV,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039,9.23,True
73,Dominican Republic,DOM,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,6.68,True
74,Algeria,DZA,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135,0.95,True
75,Morocco,MAR,5.254,0.779,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001,0.69,True
76,China,CHN,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,7.05,True
77,Azerbaijan,AZE,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,4.41,True
78,Tajikistan,TJK,5.199,0.474,1.166,0.598,0.292,0.187,0.034,3.28,True
79,Jordan,JOR,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,0.134,0.69,True
80,Nigeria,NGA,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,10.84,True
81,Bosnia and Herzegovina,BIH,5.129,0.915,1.078,0.758,0.28,0.21600000000000003,0.0,7.15,True
82,Mongolia,MNG,5.125,0.914,1.517,0.575,0.395,0.253,0.032,8.19,True
