Country,con_code,Score,GDP,social,life_expectancy,freedom,Generosity,corruption,alcohol_consumption,beer_servings,spirit_servings,wine_servings
Ecuador,ECU,5.973,6295.935399,1.33,0.736,0.556,0.114,0.12,4.2,162,74,3
Belize,BLZ,5.956,4884.734162,1.101,0.474,0.593,0.183,0.089,6.22,263,114,8
Lithuania,LTU,5.952,19176.17652,1.527,0.716,0.35,0.026,0.006,13.22,343,244,56
Slovenia,SVN,5.948,26115.91337,1.506,0.856,0.633,0.16,0.051,11.9,270,51,276
Romania,ROU,5.945,12399.88934,1.219,0.726,0.528,0.088,0.001,11.74,297,122,167
Latvia,LVA,5.933,17858.27998,1.454,0.671,0.363,0.092,0.066,12.77,281,216,62
Japan,JPN,5.915,39159.42356,1.462,0.988,0.553,0.079,0.15,7.96,77,202,16
Mauritius,MUS,5.891,11208.34382,1.387,0.684,0.584,0.245,0.05,4.35,98,31,18
Jamaica,JAM,5.89,5354.236859,1.493,0.693,0.575,0.096,0.031,4.22,82,97,9
Kazakhstan,KAZ,5.79,9812.601405,1.516,0.631,0.454,0.148,0.121,4.76,124,246,12
Cyprus,CYP,5.762,28689.70672,1.191,0.909,0.423,0.202,0.035,10.81,192,154,113
Bolivia,BOL,5.752,3548.590155,1.223,0.508,0.606,0.141,0.054,4.43,167,41,8
Estonia,EST,5.739,23170.70738,1.532,0.737,0.553,0.086,0.174,9.23,224,194,59
Paraguay,PRY,5.681,5805.675616,1.522,0.615,0.541,0.162,0.074,7.58,213,117,74
Peru,PER,5.663,6941.235848,1.249,0.674,0.53,0.092,0.034,6.38,163,160,21
Moldova,MDA,5.64,4233.743437,1.301,0.62,0.232,0.171,0,11.43,109,226,18
Turkmenistan,TKM,5.636,6966.635411,1.533,0.517,0.417,0.199,0.037,4.93,19,71,32
Hungary,HUN,5.62,16410.18726,1.401,0.732,0.259,0.061,0.022,11.35,234,215,185
Libya,LBY,5.566,7877.122251,1.35,0.553,0.496,0.116,0.148,0.019,0,0,0
Philippines,PHL,5.524,3252.092324,1.312,0.513,0.643,0.12,0.105,6.86,71,186,1
Honduras,HND,5.504,2505.776752,1.205,0.622,0.459,0.197,0.074,3.76,69,98,2
Belarus,BLR,5.483,6330.075246,1.498,0.7,0.307,0.101,0.154,11.45,142,373,42
Turkey,TUR,5.483,9455.593654,1.38,0.686,0.324,0.106,0.109,2.05,51,22,7
Pakistan,PAK,5.472,1482.305667,0.81,0.424,0.334,0.216,0.113,0.34,0,0,0
Portugal,PRT,5.41,23562.55452,1.429,0.884,0.562,0.055,0.017,12.03,194,67,339
Serbia,SRB,5.398,7252.401858,1.369,0.685,0.288,0.134,0.043,8.75,283,131,127
Greece,GRC,5.358,20324.30499,1.202,0.879,0.131,0,0.044,10.18,133,112,218
Lebanon,LBN,5.358,8024.803271,1.179,0.785,0.503,0.214,0.136,1.71,20,55,31
Montenegro,MNE,5.347,8846.056525,1.279,0.729,0.259,0.111,0.081,11.47,31,114,128
Croatia,HRV,5.321,15014.08502,1.161,0.737,0.38,0.12,0.039,9.23,230,87,254
Dominican Republic,DOM,5.302,8050.63044,1.441,0.614,0.578,0.12,0.106,6.68,193,147,9
Algeria,DZA,5.295,4153.733978,1.154,0.687,0.077,0.055,0.135,0.95,25,0,14
Morocco,MAR,5.254,3222.200634,0.797,0.669,0.46,0.026,0.074,0.69,12,6,10
China,CHN,5.246,9976.677137,1.142,0.799,0.597,0.029,0.103,7.05,79,192,8
Azerbaijan,AZE,5.201,4739.84171,1.161,0.603,0.43,0.031,0.176,4.41,21,46,5
Tajikistan,TJK,5.199,826.6215305,1.166,0.598,0.292,0.187,0.034,3.28,2,15,0
Jordan,JOR,5.161,4312.180117,1.265,0.645,0.468,0.13,0.134,0.69,6,21,1
Nigeria,NGA,5.155,2027.777979,1.172,0.048,0.462,0.201,0.032,10.84,42,5,2
Mongolia,MNG,5.125,4134.987198,1.517,0.575,0.395,0.253,0.032,8.19,77,189,8
Vietnam,VNM,5.103,2566.59695,1.365,0.702,0.618,0.177,0.079,8.66,111,2,1
Indonesia,IDN,5.093,3893.846425,1.215,0.522,0.538,0.484,0.018,0.57,5,1,0
Bhutan,BTN,5.082,3243.486036,1.335,0.527,0.541,0.364,0.171,0.43,23,0,0
Cameroon,CMR,4.975,1534.493702,0.891,0.182,0.454,0.183,0.043,5.65,147,1,4
Bulgaria,BGR,4.933,9427.73043,1.515,0.712,0.359,0.064,0.009,12.65,231,252,94
Nepal,NPL,4.88,1038.651647,1.228,0.539,0.526,0.302,0.078,2.05,5,6,0
Gabon,GAB,4.758,7956.627816,1.164,0.404,0.356,0.032,0.052,8.74,347,98,59
South Africa,ZAF,4.724,6374.028196,1.41,0.33,0.516,0.103,0.056,9.52,225,76,81
Ghana,GHA,4.657,2202.312164,0.896,0.337,0.499,0.212,0.029,2.75,31,3,10
Senegal,SEN,4.631,1465.591006,1.117,0.433,0.406,0.138,0.082,0.76,9,1,7
Tunisia,TUN,4.592,3438.789089,0.906,0.69,0.271,0.04,0.063,2.12,51,3,20
Albania,ALB,4.586,5284.380184,0.817,0.79,0.419,0.149,0.032,7.17,89,132,54
Sierra Leone,SLE,4.571,533.9911843,0.813,0,0.355,0.238,0.053,5.7,25,3,2
Bangladesh,BGD,4.5,1698.350394,0.85,0.579,0.58,0.153,0.144,0.019,0,0,0
Sri Lanka,LKA,4.471,4080.567125,1.314,0.672,0.585,0.307,0.05,4.1,16,104,0
Iraq,IRQ,4.456,5834.166211,0.971,0.536,0.304,0.148,0.095,0.39,9,3,0
Mali,MLI,4.447,894.8021869,1.233,0.152,0.367,0.139,0.056,1.28,5,1,1
Namibia,NAM,4.441,5495.428925,1.281,0.365,0.519,0.051,0.064,5.43,376,3,1
Cambodia,KHM,4.433,1512.12671,1.088,0.457,0.696,0.256,0.065,6.64,57,65,1
Burkina Faso,BFA,4.424,813.096849,1.097,0.254,0.312,0.175,0.128,12.03,25,7,7
Mozambique,MOZ,4.417,503.3187272,0.902,0.173,0.531,0.206,0.158,2.3,47,18,5
Kenya,KEN,4.41,1707.986805,1.048,0.454,0.504,0.352,0.055,2.78,58,22,2
Zambia,ZMB,4.377,1516.390661,1.047,0.295,0.503,0.221,0.082,6.54,32,19,4
